项目id	SKUid	SKU名称	SKUurl	项目匹配词	SKU关键词	SKU价格	SKU销量	相似度
578	1018202751	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 湖人队纳什Nash	http://item.jd.com/1018202751.html	时尚,运动,手环	黄多色,球星,纳什,礼品,篮球,手带,精美,运动,硅胶,盒装,手链,时尚,红蓝白,湖人队,手环,手腕带,手圈,NBA,Nash,礼物	19.0	1	0.075
578	1018239584	colantotte克郎托天磁性钛保健磁疗商务手镯 时尚运动男女情侣能量石手环日本进口医用 橙色 M	http://item.jd.com/1018239584.html	运动,时尚,手环	情侣,手环,进口,磁疗,磁性,手镯,colantotte,保健,克郎托天（Colantotte）,商务,克郎,运动,能量,医用,托天,日本,时尚,Colantotte,橙色,男女	1296.0	1	0.075
578	1018239585	克郎托天colantotte磁性钛保健磁疗商务手镯 时尚运动男女情侣能量石手环日本原装进口 橙色 L	http://item.jd.com/1018239585.html	运动,时尚,手环	情侣,能量,colantotte,磁疗,磁性,日本原装进口,手镯,Colantotte,保健,克郎托天（Colantotte）,商务,克郎,运动,托天,手环,时尚,男女,橙色	1296.0	1	0.075
578	1018239587	克郎托天colantotte磁性钛保健磁疗商务手镯 时尚运动男女情侣能量石手环日本原装进口 黑色 L	http://item.jd.com/1018239587.html	时尚,运动,手环	情侣,手环,进口,磁疗,磁性,日本原装进口,手镯,运动,colantotte,保健,克郎托天（Colantotte）,商务,克郎,时尚,托天,日本,能量,Colantotte,医用,黑色,男女	1296.0	3	0.075
578	1022573878	Paulone宝德龙智能穿戴手环智能蓝牙手表气压表计步器登山表海拔表防水防盗手机伴侣U8 钢琴黑	http://item.jd.com/1022573878.html	智能,防水,手环	报警,智能,U8,高度计,登山,蓝牙手表,防水,钢琴,One,手机,Paulone,海拔,气压表,手环,伴侣,计步器,paul,宝德龙,防盗,宝德龙（paul One）,穿戴	370.666666667	81	0.075
578	1023026546	NBA 男士男款烙印牛皮运动篮球手环手链时尚复古情侣手带腕带 精美礼品盒装 凯尔特人队加内特朗多	http://item.jd.com/1023026546.html	时尚,运动,手环	情侣,牛皮,加内特,复古,篮球,手带,精美,运动,礼品盒,时尚,腕带,男士,手环,NBA,凯尔特人,手链,男款,烙印	129.0	3	0.075
578	1023026547	NBA 男士男款烙印牛皮运动篮球手环手链时尚复古情侣手带腕带 精美礼品盒装 湖人队科比纳什霍华德	http://item.jd.com/1023026547.html	时尚,运动,手环	情侣,牛皮,纳什,复古,篮球,手带,精美,运动,霍华德,科比,礼品盒,时尚,腕带,湖人队,男士,手环,NBA,手链,男款,烙印	129.0	7	0.075
578	1023029745	NBA 男女士篮球编织皮不锈钢手环 磁铁时尚运动男女款手带腕带手链 精美礼品盒装 湖人队科比纳什霍华德	http://item.jd.com/1023029745.html	运动,时尚,手环	科比,不锈钢,纳什,篮球,手带,精美,女士,霍华德,编织,礼品盒,运动,腕带,湖人队,手环,时尚,NBA,手链,磁铁,男女	168.0	18	0.075
578	1023810580	克郎托天colantotte运动黑门风水系列健康运势磁石保健手环医用商务男女手镯 日本进口 黑白色 F均码	http://item.jd.com/1023810580.html	运动,手环,健康	进口,均码,手环,黑门,克郎,运动,白色,健康,Colantotte,男女,风水,磁石,colantotte,托天,医用,运势,系列,手镯,保健,克郎托天（Colantotte）,商务,日本	1998.0	1	0.075
578	1023817379	克郎托天colantotte日本原装进口负离子纤维磁疗保健运动时尚能量手环防辐射男女通用 蓝色 M	http://item.jd.com/1023817379.html	运动,时尚,手环	时尚,colantotte,磁疗,纤维,日本原装进口,能量,克郎,保健,克郎托天（Colantotte）,运动,蓝色,托天,手环,Colantotte,男女,负离子,防辐射	170.0	1	0.075
578	1023817380	克郎托天colantotte日本原装进口负离子纤维磁疗保健运动时尚能量手环防辐射男女通用 蓝色 L	http://item.jd.com/1023817380.html	运动,时尚,手环	时尚,colantotte,磁疗,纤维,日本原装进口,能量,克郎,保健,克郎托天（Colantotte）,运动,蓝色,托天,手环,Colantotte,男女,负离子,防辐射	170.0	3	0.075
578	1023817381	克郎托天colantotte日本原装进口负离子纤维磁疗保健运动时尚能量手环防辐射男女通用 红色 M	http://item.jd.com/1023817381.html	运动,时尚,手环	时尚,colantotte,托天,磁疗,红色,日本原装进口,能量,克郎,保健,克郎托天（Colantotte）,运动,防辐射,手环,Colantotte,纤维,负离子,男女	170.0	5	0.075
578	1023817382	克郎托天colantotte日本原装进口负离子纤维磁疗保健运动时尚能量手环防辐射男女通用 红色 L	http://item.jd.com/1023817382.html	运动,时尚,手环	时尚,colantotte,托天,磁疗,红色,日本原装进口,能量,克郎,保健,克郎托天（Colantotte）,运动,防辐射,手环,Colantotte,纤维,负离子,男女	170.0	4	0.075
578	1023817383	克郎托天colantotte日本原装进口负离子纤维磁疗保健运动时尚能量手环防辐射男女通用 黑色 M	http://item.jd.com/1023817383.html	运动,时尚,手环	时尚,colantotte,磁疗,纤维,日本原装进口,能量,克郎,保健,克郎托天（Colantotte）,运动,托天,手环,Colantotte,男女,黑色,负离子,防辐射	170.0	4	0.075
578	1023817384	克郎托天colantotte日本原装进口负离子纤维磁疗保健运动时尚能量手环防辐射男女通用 黑色 L	http://item.jd.com/1023817384.html	运动,时尚,手环	时尚,colantotte,磁疗,纤维,日本原装进口,能量,克郎,保健,克郎托天（Colantotte）,运动,托天,手环,Colantotte,男女,黑色,负离子,防辐射	170.0	10	0.075
578	1024367097	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼 小牛队诺维斯基Nowitz	http://item.jd.com/1024367097.html	时尚,运动,手环	礼物,黄多色,球星,维斯基,篮球,手带,精美,运动,硅胶,手腕带,时尚,红蓝白,手环,Nowitz,小牛队,手圈,NBA,盒装,手链	19.0	29	0.075
578	1024367099	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼 尼克斯队安东尼Anthon	http://item.jd.com/1024367099.html	运动,时尚,手环	尼克斯队,篮球,安东尼,手环,Anthon,礼物,硅胶,运动,百搭,球迷用品,手圈,NBA,男女,黄多色,盒装,户外,球星,手链,手带,精美,时尚,红蓝白,手腕带	19.0	63	0.075
578	1024367101	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 勇士队库里Curry	http://item.jd.com/1024367101.html	运动,时尚,手环	篮球,手环,礼物,勇士队,硅胶,运动,百搭,球迷用品,手圈,NBA,库里,男女,黄多色,盒装,户外,Curry,球星,礼品,手链,手带,精美,时尚,红蓝白,手腕带	19.0	92	0.075
578	1024367102	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 热火队波什Bosh	http://item.jd.com/1024367102.html	时尚,运动,手环	黄多色,球星,手链,礼品,波什,篮球,手带,精美,运动,硅胶,热火队,手腕带,时尚,红蓝白,Bosh,手环,手圈,NBA,盒装,礼物	19.0	13	0.075
578	1024367103	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 雷霆队威斯布鲁克	http://item.jd.com/1024367103.html	运动,时尚,手环	雷霆,篮球,手环,礼物,硅胶,队威,运动,百搭,球迷用品,手圈,NBA,男女,黄多色,斯布鲁克,盒装,户外,球星,礼品,手链,手带,精美,时尚,红蓝白,手腕带	19.0	69	0.075
578	1024367104	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼 凯尔特人队皮尔斯Pier	http://item.jd.com/1024367104.html	时尚,运动,手环	礼物,黄多色,皮尔斯,球星,篮球,手带,精美,运动,硅胶,盒装,手腕带,时尚,红蓝白,手环,手圈,NBA,凯尔特人,Pier,手链	19.0	18	0.075
578	1024367105	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 热火队雷阿伦RayAll	http://item.jd.com/1024367105.html	时尚,运动,手环	黄多色,球星,手链,雷阿伦,礼品,篮球,手带,精美,运动,硅胶,热火队,手腕带,时尚,红蓝白,手环,RayAll,手圈,NBA,盒装,礼物	19.0	27	0.075
578	1024367107	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼 篮网队威廉姆斯Willia	http://item.jd.com/1024367107.html	时尚,运动,手环	礼物,黄多色,球星,威廉姆斯,篮球,手带,精美,运动,硅胶,手腕带,时尚,网队,手环,Willia,手圈,NBA,盒装,手链,红蓝白	19.0	33	0.075
578	1024367108	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼 马刺队麦蒂麦迪Mcgrad	http://item.jd.com/1024367108.html	运动,时尚,手环	马刺队,篮球,麦蒂麦,手环,礼物,硅胶,运动,百搭,球迷用品,手圈,NBA,盒装,男女,黄多色,Mcgrad,户外,球星,手链,手带,精美,时尚,红蓝白,手腕带	19.0	60	0.075
578	1024367149	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物 凯尔特人队隆多朗多Rond	http://item.jd.com/1024367149.html	时尚,运动,手环	礼物,黄多色,球星,隆多朗,篮球,手带,精美,运动,硅胶,Rond,手腕带,时尚,红蓝白,手环,手圈,NBA,凯尔特人,盒装,手链	19.0	19	0.075
578	1024367150	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 马刺队邓肯Duncan	http://item.jd.com/1024367150.html	时尚,运动,手环	礼物,黄多色,球星,马刺队,礼品,Duncan,篮球,手带,精美,运动,硅胶,邓肯,手腕带,时尚,红蓝白,手环,手圈,NBA,盒装,手链	19.0	45	0.075
578	1024367151	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 骑士队欧文Irving	http://item.jd.com/1024367151.html	运动,时尚,手环	篮球,硅胶,手环,骑士队,礼物,Irving,欧文,运动,百搭,球迷用品,手圈,NBA,男女,黄多色,盒装,户外,球星,礼品,手链,手带,精美,时尚,红蓝白,手腕带	19.0	63	0.075
